word,pos,var,shaw,ipa,verdict,shaw_override,pos_override,var_override,ipa_override,source,status,confidence,notes
abashed,VVI,RSSB,𐑩𐑚𐑨𐑖𐑑,əˈbæʃt,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑩𐑚𐑨𐑖𐑑; agreed via wiktionary"
abbreviate,AJ0,GenAm,𐑩𐑚𐑮𐑦𐑝𐑦𐑱𐑑,əˈbrivieɪt,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=VVB,VVI; rl_shaw=𐑩𐑚𐑮𐑰𐑝𐑦𐑱𐑑; SHIFTED via wiktionary"
abbreviate,AJ0,GenAm,𐑩𐑚𐑮𐑦𐑝𐑾𐑑,əˈbriviət,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=VVB,VVI; rl_shaw=𐑩𐑚𐑮𐑰𐑝𐑦𐑱𐑑; SHIFTED via wiktionary"
abbreviate,NN1,GenAm,𐑩𐑚𐑮𐑦𐑝𐑦𐑱𐑑,əˈbrivieɪt,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=VVB,VVI; rl_shaw=𐑩𐑚𐑮𐑰𐑝𐑦𐑱𐑑; SHIFTED via wiktionary"
abbreviate,NN1,GenAm,𐑩𐑚𐑮𐑦𐑝𐑾𐑑,əˈbriviət,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=VVB,VVI; rl_shaw=𐑩𐑚𐑮𐑰𐑝𐑦𐑱𐑑; SHIFTED via wiktionary"
abbreviated,VVI,GenAm,𐑩𐑚𐑮𐑦𐑝𐑦𐑱𐑑𐑩𐑛,əˈbriviˌeɪtƏd,,,,,,pos-gap,pos-gap-shifted,10,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑩𐑚𐑮𐑰𐑝𐑦𐑱𐑑𐑩𐑛; SHIFTED via wiktionary"
abbreviated,VVI,RSSB,𐑩𐑚𐑮𐑰𐑝𐑦𐑱𐑑𐑩𐑛,əbriːvieɪtƏd,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑩𐑚𐑮𐑰𐑝𐑦𐑱𐑑𐑩𐑛; agreed via wiktionary"
Abdul,NN1,GenAm,𐑨𐑚𐑛𐑫𐑤,æbˈdʊl,,,,,,pos-gap,pos-gap,60,rl_pos=NP0; rl_shaw=𐑨𐑚𐑛𐑫𐑤; agreed via wiktionary
Abdul,NN1,GenAm,𐑩𐑚𐑛𐑫𐑤,əbˈdʊl,,,,,,pos-gap,pos-gap-shifted,30,rl_pos=NP0; rl_shaw=𐑨𐑚𐑛𐑫𐑤; SHIFTED via wiktionary
abeam,AJ0,GenAm,𐑩𐑚𐑦𐑥,əˈbim,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AV0; rl_shaw=𐑩𐑚𐑰𐑥; SHIFTED via wiktionary
abeam,AJ0,RSSB,𐑩𐑚𐑰𐑥,əˈbiːm,,,,,,pos-gap,pos-gap,50,rl_pos=AV0; rl_shaw=𐑩𐑚𐑰𐑥; agreed via wiktionary
abeam,PRP,GenAm,𐑩𐑚𐑦𐑥,əˈbim,,,,,,pos-gap,pos-gap-shifted,20,rl_pos=AV0; rl_shaw=𐑩𐑚𐑰𐑥; SHIFTED via wiktionary
abeam,PRP,RSSB,𐑩𐑚𐑰𐑥,əˈbiːm,,,,,,pos-gap,pos-gap,35,rl_pos=AV0; rl_shaw=𐑩𐑚𐑰𐑥; agreed via wiktionary
aberdeen,NN1,GenAm,𐑨𐑚𐑼𐑛𐑦𐑯,ˈæbəRˌdin,,,,,,pos-gap,pos-gap-shifted,45,rl_pos=NP0; rl_shaw=𐑨𐑚𐑼𐑛𐑰𐑯; SHIFTED via wiktionary+wordnet
aberdeen,NN1,RSSB,𐑨𐑚𐑼𐑛𐑰𐑯,æbəRdiːn,keep,,,,,pos-gap,pos-gap,95,rl_pos=NP0; agreed via wiktionary+wordnet
abhorred,VVI,GenAm,𐑨𐑚𐑣𐑹𐑛,æbˈhɔːRd,,,,,,pos-gap,pos-gap-shifted,10,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑩𐑚𐑣𐑹𐑛; SHIFTED via wiktionary"
abhorred,VVI,GenAm,𐑩𐑚𐑣𐑹𐑛,əbˈhɔːRd,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑩𐑚𐑣𐑹𐑛; agreed via wiktionary"
abhorred,VVI,RSSB,𐑩𐑚𐑹𐑛,əbɔːRd,,,,,,pos-gap,pos-gap-shifted,10,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑩𐑚𐑣𐑹𐑛; SHIFTED via wiktionary"
abided,VVI,GenAm,𐑩𐑚𐑲𐑛𐑩𐑛,əˈbaɪdəd,,,,,,pos-gap,pos-gap,15,"rl_pos=VVD,VVN; rl_shaw=𐑩𐑚𐑲𐑛𐑩𐑛; agreed via wiktionary"
abiding,NN1,GenAm,𐑩𐑚𐑲𐑛𐑦𐑙,əˈbaɪdɪŋ,,,,,,pos-gap,pos-gap,50,"rl_pos=AJ0,VVG; rl_shaw=𐑩𐑚𐑲𐑛𐑦𐑙; agreed via wiktionary"
abiding,VVI,GenAm,𐑩𐑚𐑲𐑛𐑦𐑙,əˈbaɪdɪŋ,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVG; rl_shaw=𐑩𐑚𐑲𐑛𐑦𐑙; agreed via wiktionary"
abject,NN1,GenAm,𐑨𐑚𐑡𐑧𐑒𐑑,ˈæbˌdʒekt,,,,,,pos-gap,pos-gap,50,rl_pos=AJ0; rl_shaw=𐑨𐑚𐑡𐑧𐑒𐑑; agreed via wiktionary
abjured,AJ0,RSSB,𐑩𐑚𐑡𐑫𐑼𐑛,əbdʒʊəRd,,,,,,pos-gap,pos-gap,45,"rl_pos=VVD,VVN; rl_shaw=𐑩𐑚𐑡𐑫𐑼𐑛; agreed via wiktionary"
abjured,VVI,RSSB,𐑩𐑚𐑡𐑫𐑼𐑛,əbdʒʊəRd,,,,,,pos-gap,pos-gap,15,"rl_pos=VVD,VVN; rl_shaw=𐑩𐑚𐑡𐑫𐑼𐑛; agreed via wiktionary"
abjures,VVI,RSSB,𐑩𐑚𐑡𐑫𐑼𐑟,əbdʒʊəRz,,,,,,pos-gap,pos-gap,15,rl_pos=VVZ; rl_shaw=𐑩𐑚𐑡𐑫𐑼𐑟; agreed via wiktionary
ablaut,VVI,GenAm,𐑨𐑚𐑤𐑬𐑑,ˈæbˌlaʊt,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑨𐑚𐑤𐑬𐑑; agreed via wiktionary
ablaut,VVI,GenAm,𐑪𐑐𐑤𐑬𐑑,ˈɒpˌlaʊt,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=NN1; rl_shaw=𐑨𐑚𐑤𐑬𐑑; SHIFTED via wiktionary
ablaut,VVI,GenAm,𐑪𐑚𐑤𐑬𐑑,ˈɒbˌlaʊt,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=NN1; rl_shaw=𐑨𐑚𐑤𐑬𐑑; SHIFTED via wiktionary
abler,AJ0,GenAm,𐑱𐑚𐑤𐑼,ˈeɪbləR,,,,,,pos-gap,pos-gap,25,rl_pos=AJC; rl_shaw=𐑱𐑚𐑤𐑼; agreed via wiktionary
abler,AJ0,GenAm,𐑱𐑚𐑩𐑤𐑼,ˈeɪbələR,,,,,,pos-gap,pos-gap-shifted,20,rl_pos=AJC; rl_shaw=𐑱𐑚𐑤𐑼; SHIFTED via wiktionary
ablest,AJ0,GenAm,𐑱𐑚𐑤𐑩𐑕𐑑,ˈeɪbləst,,,,,,pos-gap,pos-gap,25,rl_pos=AJS; rl_shaw=𐑱𐑚𐑤𐑩𐑕𐑑; agreed via wiktionary
ablest,AJ0,GenAm,𐑱𐑚𐑩𐑤𐑩𐑕𐑑,ˈeɪbələst,,,,,,pos-gap,pos-gap-shifted,20,rl_pos=AJS; rl_shaw=𐑱𐑚𐑤𐑩𐑕𐑑; SHIFTED via wiktionary
abloom,AV0,GenAm,𐑩𐑚𐑤𐑵𐑥,əˈbluːm,,,,,,pos-gap,pos-gap,50,rl_pos=AJ0; rl_shaw=𐑩𐑚𐑤𐑵𐑥; agreed via wiktionary
abnormal,NN1,GenAm,𐑨𐑚𐑯𐑹𐑥𐑩𐑤,ˌæbˈnɔːRməl,,,,,,pos-gap,pos-gap,50,rl_pos=AJ0; rl_shaw=𐑨𐑚𐑯𐑹𐑥𐑩𐑤; agreed via wiktionary
abnormal,NN1,GenAm,𐑩𐑚𐑯𐑹𐑥𐑩𐑤,əbˈnɔːRməl,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AJ0; rl_shaw=𐑨𐑚𐑯𐑹𐑥𐑩𐑤; SHIFTED via wiktionary
abo,AJ0,GenAm,𐑨𐑚𐑴,ˈæboʊ,,,,,,pos-gap,pos-gap,50,rl_pos=NN1; rl_shaw=𐑨𐑚𐑴; agreed via wiktionary
abode,VVI,GenAm,𐑩𐑚𐑴𐑛,əˈboʊːd,,,,,,pos-gap,pos-gap,15,"rl_pos=NN1,VVD; rl_shaw=𐑩𐑚𐑴𐑛; agreed via wiktionary"
abolished,VVI,GenAm,𐑩𐑚𐑪𐑤𐑦𐑖𐑑,əˈbɒlɪʃt,,,,,,pos-gap,pos-gap,15,"rl_pos=VVD,VVN; rl_shaw=𐑩𐑚𐑪𐑤𐑦𐑖𐑑; agreed via wiktionary"
abolitionists,NN1,RSSB,𐑨𐑚𐑩𐑤𐑦𐑖𐑩𐑯𐑦𐑕𐑑𐑕,ˈæbəlɪʃənɪsts,,,,,,pos-gap,pos-gap,35,rl_pos=NN2; rl_shaw=𐑨𐑚𐑩𐑤𐑦𐑖𐑩𐑯𐑦𐑕𐑑𐑕; agreed via wiktionary
abominate,AJ0,GenAm,𐑩𐑚𐑪𐑥𐑦𐑯𐑱𐑑,əˈbɒmɪˌneɪt,,,,,,pos-gap,pos-gap,35,"rl_pos=VVB,VVI; rl_shaw=𐑩𐑚𐑪𐑥𐑦𐑯𐑱𐑑; agreed via wiktionary"
abominate,AJ0,GenAm,𐑩𐑚𐑪𐑥𐑩𐑯𐑩𐑑,əˈbɒmənət,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=VVB,VVI; rl_shaw=𐑩𐑚𐑪𐑥𐑦𐑯𐑱𐑑; SHIFTED via wiktionary"
abominate,AJ0,GenAm,𐑩𐑚𐑪𐑥𐑩𐑯𐑱𐑑,əˈbɒməˌneɪt,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=VVB,VVI; rl_shaw=𐑩𐑚𐑪𐑥𐑦𐑯𐑱𐑑; SHIFTED via wiktionary"
Aboriginal,NP0,GenAm,𐑨𐑚𐑼𐑦𐑡𐑦𐑯𐑩𐑤,ˌæbəˈrɪdʒɪnəl,,,,,,pos-gap,pos-gap,35,"rl_pos=AJ0,NN1; rl_shaw=𐑨𐑚𐑼𐑦𐑡𐑦𐑯𐑩𐑤; agreed via wiktionary"
Aboriginal,NP0,GenAm,𐑨𐑚𐑼𐑦𐑡𐑩𐑯𐑩𐑤,ˌæbəˈrɪdʒənəl,,,,,,pos-gap,pos-gap-shifted,20,"rl_pos=AJ0,NN1; rl_shaw=𐑨𐑚𐑼𐑦𐑡𐑦𐑯𐑩𐑤; SHIFTED via wiktionary"
abort,NN1,GenAm,𐑩𐑚𐑹𐑑,əˈbɔːRt,,,,,,pos-gap,pos-gap,35,"rl_pos=VVB,VVI; rl_shaw=𐑩𐑚𐑹𐑑; agreed via wiktionary"
abortive,NN1,RSSB,𐑩𐑚𐑹𐑑𐑦𐑝,əbɔːRtɪv,,,,,,pos-gap,pos-gap,50,rl_pos=AJ0; rl_shaw=𐑩𐑚𐑹𐑑𐑦𐑝; agreed via wiktionary
abortive,VVI,RSSB,𐑩𐑚𐑹𐑑𐑦𐑝,əbɔːRtɪv,,,,,,pos-gap,pos-gap,35,rl_pos=AJ0; rl_shaw=𐑩𐑚𐑹𐑑𐑦𐑝; agreed via wiktionary
about,AJ0,GenAm,𐑩𐑚𐑬𐑑,əˈbaʊt,,,,,,pos-gap,pos-gap,50,"rl_pos=AV0,AVP,PRP; rl_shaw=𐑩𐑚𐑬𐑑; agreed via wordnet"
above,NN1,GenAm,𐑩𐑚𐑳𐑝,əˈbʌv,,,,,,pos-gap,pos-gap,50,"rl_pos=AJ0,AV0,PRP; rl_shaw=𐑩𐑚𐑳𐑝; agreed via wordnet"
abraham,NN1,GenAm,𐑱𐑚𐑮𐑩𐑣𐑨𐑥,ˈeɪbrəˌhæm,keep,,,,,pos-gap,pos-gap,95,rl_pos=NP0; rl_shaw=𐑱𐑚𐑮𐑩𐑣𐑨𐑥; agreed via wiktionary+wordnet
Abraham,NN1,GenAm,𐑱𐑚𐑮𐑩𐑣𐑩𐑥,ˈeɪbrəhəm,,,,,,pos-gap,pos-gap-shifted,30,rl_pos=NP0; rl_shaw=𐑱𐑚𐑮𐑩𐑣𐑨𐑥; SHIFTED via wiktionary
abroad,AJ0,RSSB,𐑩𐑚𐑮𐑷𐑛,əbrɔːd,,,,,,pos-gap,pos-gap,50,rl_pos=AV0; rl_shaw=𐑩𐑚𐑮𐑷𐑛; agreed via wiktionary
abroad,NN1,RSSB,𐑩𐑚𐑮𐑷𐑛,əbrɔːd,,,,,,pos-gap,pos-gap,50,rl_pos=AV0; rl_shaw=𐑩𐑚𐑮𐑷𐑛; agreed via wiktionary
abroad,PRP,RSSB,𐑩𐑚𐑮𐑷𐑛,əbrɔːd,,,,,,pos-gap,pos-gap,35,rl_pos=AV0; rl_shaw=𐑩𐑚𐑮𐑷𐑛; agreed via wiktionary
abrogate,AJ0,GenAm,𐑨𐑚𐑮𐑩𐑜𐑩𐑑,ˈæbrəˌɡət,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=VVB,VVI; rl_shaw=𐑨𐑚𐑮𐑩𐑜𐑱𐑑; SHIFTED via wiktionary"
abrogate,AJ0,GenAm,𐑨𐑚𐑮𐑩𐑜𐑱𐑑,ˈæbrəˌɡeɪt,,,,,,pos-gap,pos-gap,35,"rl_pos=VVB,VVI; rl_shaw=𐑨𐑚𐑮𐑩𐑜𐑱𐑑; agreed via wiktionary"
abrogate,AJ0,GenAm,𐑨𐑚𐑮𐑴𐑜𐑱𐑑,ˈæbroʊˌɡeɪt,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=VVB,VVI; rl_shaw=𐑨𐑚𐑮𐑩𐑜𐑱𐑑; SHIFTED via wiktionary"
abrupt,NN1,GenAm,𐑨𐑚𐑮𐑳𐑐𐑑,æbˈrʌpt,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AJ0; rl_shaw=𐑩𐑚𐑮𐑳𐑐𐑑; SHIFTED via wiktionary
abrupt,NN1,GenAm,𐑩𐑚𐑮𐑳𐑐𐑑,əˈbrʌpt,,,,,,pos-gap,pos-gap,50,rl_pos=AJ0; rl_shaw=𐑩𐑚𐑮𐑳𐑐𐑑; agreed via wiktionary
abrupt,VVI,GenAm,𐑨𐑚𐑮𐑳𐑐𐑑,æbˈrʌpt,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AJ0; rl_shaw=𐑩𐑚𐑮𐑳𐑐𐑑; SHIFTED via wiktionary
abrupt,VVI,GenAm,𐑩𐑚𐑮𐑳𐑐𐑑,əˈbrʌpt,,,,,,pos-gap,pos-gap,35,rl_pos=AJ0; rl_shaw=𐑩𐑚𐑮𐑳𐑐𐑑; agreed via wiktionary
abscess,VVI,GenAm,𐑨𐑚𐑕𐑦𐑕,ˈæbsɪs,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=NN1; rl_shaw=𐑨𐑚𐑕𐑧𐑕; SHIFTED via wiktionary
abscess,VVI,GenAm,𐑨𐑚𐑕𐑧𐑕,ˈæbses,,,,,,pos-gap,pos-gap,35,rl_pos=NN1; rl_shaw=𐑨𐑚𐑕𐑧𐑕; agreed via wiktionary
absent,PRP,GenAm,𐑨𐑚𐑕𐑩𐑯𐑑,ˈæbsənt,,,,,,pos-gap,pos-gap,35,"rl_pos=AJ0,NN1,VVB,VVI; rl_shaw=𐑨𐑚𐑕𐑩𐑯𐑑/𐑩𐑚𐑕𐑧𐑯𐑑; agreed via wiktionary"
absolute,NN1,RSSB,𐑨𐑐𐑕𐑩𐑤𐑵𐑢𐑑,ˈapsəluːwt,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AJ0; rl_shaw=𐑨𐑚𐑕𐑩𐑤𐑵𐑑; SHIFTED via wiktionary
absolute,NN1,GenAm,𐑨𐑚𐑕𐑩𐑤𐑫𐑑,ˈæbsəˌlut,,,,,,pos-gap,pos-gap-shifted,55,rl_pos=AJ0; rl_shaw=𐑨𐑚𐑕𐑩𐑤𐑵𐑑; SHIFTED via wiktionary+wordnet
absolute,NN1,RSSB,𐑨𐑚𐑕𐑩𐑤𐑵𐑑,ˈæbsəˌluːt,,,,,,pos-gap,pos-gap,70,rl_pos=AJ0; rl_shaw=𐑨𐑚𐑕𐑩𐑤𐑵𐑑; agreed via wiktionary+wordnet
absolute,NN1,RSSB,𐑨𐑚𐑕𐑩𐑤𐑿𐑑,ˈæbsəljuːt,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AJ0; rl_shaw=𐑨𐑚𐑕𐑩𐑤𐑵𐑑; SHIFTED via wiktionary
absolutist,NN1,GenAm,𐑨𐑚𐑕𐑩𐑤𐑫𐑑𐑦𐑕𐑑,ˈæbsəˌlutɪst,,,,,,pos-gap,pos-gap-shifted,55,rl_pos=AJ0; rl_shaw=𐑨𐑚𐑕𐑩𐑤𐑵𐑑𐑦𐑕𐑑; SHIFTED via wiktionary+wordnet
absolutist,NN1,RSSB,𐑨𐑚𐑕𐑩𐑤𐑵𐑑𐑦𐑕𐑑,ˈæbsəˌluːtɪst,,,,,,pos-gap,pos-gap,70,rl_pos=AJ0; rl_shaw=𐑨𐑚𐑕𐑩𐑤𐑵𐑑𐑦𐑕𐑑; agreed via wiktionary+wordnet
absolutist,NN1,RSSB,𐑨𐑚𐑕𐑩𐑤𐑿𐑑𐑦𐑕𐑑,ˈæbsəˌljuːtɪst,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AJ0; rl_shaw=𐑨𐑚𐑕𐑩𐑤𐑵𐑑𐑦𐑕𐑑; SHIFTED via wiktionary
absorbed,VVI,GenAm,𐑨𐑚𐑕𐑹𐑚𐑛,æbˈsɔːRbd,,,,,,pos-gap,pos-gap-shifted,10,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑩𐑚𐑕𐑹𐑚𐑛; SHIFTED via wiktionary"
absorbed,VVI,GenAm,𐑨𐑚𐑟𐑹𐑚𐑛,æbˈzɔːRbd,,,,,,pos-gap,pos-gap-shifted,10,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑩𐑚𐑕𐑹𐑚𐑛; SHIFTED via wiktionary"
absorbed,VVI,GenAm,𐑩𐑚𐑕𐑹𐑚𐑛,əbˈsɔːRbd,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑩𐑚𐑕𐑹𐑚𐑛; agreed via wiktionary"
absorbed,VVI,GenAm,𐑩𐑚𐑟𐑹𐑚𐑛,əbˈzɔːRbd,,,,,,pos-gap,pos-gap-shifted,10,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑩𐑚𐑕𐑹𐑚𐑛; SHIFTED via wiktionary"
absorbing,NN1,GenAm,𐑨𐑚𐑕𐑹𐑚𐑦𐑙,æbˈsɔːRbɪŋ,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=AJ0,VVG; rl_shaw=𐑩𐑚𐑕𐑹𐑚𐑦𐑙; SHIFTED via wiktionary"
absorbing,NN1,GenAm,𐑨𐑚𐑟𐑹𐑚𐑦𐑙,æbˈzɔːRbɪŋ,,,,,,pos-gap,pos-gap-shifted,40,"rl_pos=AJ0,VVG; rl_shaw=𐑩𐑚𐑕𐑹𐑚𐑦𐑙; SHIFTED via wiktionary"
absorbing,NN1,GenAm,𐑩𐑚𐑕𐑹𐑚𐑦𐑙,əbˈsɔːRbɪŋ,,,,,,pos-gap,pos-gap,50,"rl_pos=AJ0,VVG; rl_shaw=𐑩𐑚𐑕𐑹𐑚𐑦𐑙; agreed via wiktionary"
absorbing,VVI,GenAm,𐑨𐑚𐑕𐑹𐑚𐑦𐑙,æbˈsɔːRbɪŋ,,,,,,pos-gap,pos-gap-shifted,10,"rl_pos=AJ0,VVG; rl_shaw=𐑩𐑚𐑕𐑹𐑚𐑦𐑙; SHIFTED via wiktionary"
absorbing,VVI,GenAm,𐑨𐑚𐑟𐑹𐑚𐑦𐑙,æbˈzɔːRbɪŋ,,,,,,pos-gap,pos-gap-shifted,10,"rl_pos=AJ0,VVG; rl_shaw=𐑩𐑚𐑕𐑹𐑚𐑦𐑙; SHIFTED via wiktionary"
absorbing,VVI,GenAm,𐑩𐑚𐑕𐑹𐑚𐑦𐑙,əbˈsɔːRbɪŋ,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVG; rl_shaw=𐑩𐑚𐑕𐑹𐑚𐑦𐑙; agreed via wiktionary"
abstracted,VVI,GenAm,𐑨𐑚𐑕𐑑𐑮𐑨𐑒𐑑𐑩𐑛,æbˈstræktƏd,,,,,,pos-gap,pos-gap-shifted,10,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑩𐑚𐑕𐑑𐑮𐑨𐑒𐑑𐑩𐑛; SHIFTED via wiktionary"
abstracted,VVI,GenAm,𐑩𐑚𐑕𐑑𐑮𐑨𐑒𐑑𐑩𐑛,əbˈstræktƏd,,,,,,pos-gap,pos-gap,15,"rl_pos=AJ0,VVD,VVN; rl_shaw=𐑩𐑚𐑕𐑑𐑮𐑨𐑒𐑑𐑩𐑛; agreed via wiktionary"
absurd,NN1,GenAm,𐑨𐑚𐑕𐑼𐑛,æbˈsəRd,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AJ0; rl_shaw=𐑩𐑚𐑕𐑻𐑛; SHIFTED via wiktionary
absurd,NN1,GenAm,𐑨𐑚𐑟𐑼𐑛,æbˈzəRd,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AJ0; rl_shaw=𐑩𐑚𐑕𐑻𐑛; SHIFTED via wiktionary
absurd,NN1,RSSB,𐑩𐑚𐑕𐑻𐑛,əbsɜːRd,,,,,,pos-gap,pos-gap,50,rl_pos=AJ0; rl_shaw=𐑩𐑚𐑕𐑻𐑛; agreed via wiktionary
absurd,NN1,GenAm,𐑩𐑚𐑕𐑼𐑛,əbˈsəRd,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AJ0; rl_shaw=𐑩𐑚𐑕𐑻𐑛; SHIFTED via wiktionary
absurd,NN1,RSSB,𐑩𐑚𐑟𐑻𐑛,əbzɜːRd,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AJ0; rl_shaw=𐑩𐑚𐑕𐑻𐑛; SHIFTED via wiktionary
absurd,NN1,GenAm,𐑩𐑚𐑟𐑼𐑛,əbˈzəRd,,,,,,pos-gap,pos-gap-shifted,40,rl_pos=AJ0; rl_shaw=𐑩𐑚𐑕𐑻𐑛; SHIFTED via wiktionary
abutting,AJ0,GenAm,𐑩𐑚𐑳𐑑𐑦𐑙,əˈbʌtɪŋ,,,,,,pos-gap,pos-gap,35,rl_pos=VVG; rl_shaw=𐑩𐑚𐑳𐑑𐑦𐑙; agreed via wiktionary
abutting,NN1,GenAm,𐑩𐑚𐑳𐑑𐑦𐑙,əˈbʌtɪŋ,,,,,,pos-gap,pos-gap,35,rl_pos=VVG; rl_shaw=𐑩𐑚𐑳𐑑𐑦𐑙; agreed via wiktionary
abutting,VVI,GenAm,𐑩𐑚𐑳𐑑𐑦𐑙,əˈbʌtɪŋ,,,,,,pos-gap,pos-gap,15,rl_pos=VVG; rl_shaw=𐑩𐑚𐑳𐑑𐑦𐑙; agreed via wiktionary
