word,pos,var,shaw,ipa,verdict,shaw_override,pos_override,var_override,ipa_override,source,status,confidence,notes
747,NN1,RSSB,𐑕𐑧𐑝𐑩𐑯𐑓𐑷𐑕𐑧𐑝𐑩𐑯,ˌsevənfɔːˈsevən,,,,,,wiktionary,new,10,numeral; shave_says:𐑩 𐑓 𐑧𐑓𐑼𐑑
9/11,NN1,RSSB,𐑯𐑲𐑯𐑩𐑤𐑧𐑝𐑩𐑯,naɪnəˈlevən,,,,,,wordnet,new,10,numeral; shave_says:9/11
911,NN1,GenAm,𐑯𐑲𐑯 𐑢𐑳𐑯 𐑢𐑳𐑯,ˌnaɪn wʌn ˈwʌn,,,,,,wiktionary,new,10,numeral; shave_says:𐑩-𐑤𐑦𐑕𐑑
911,NP0,GenAm,𐑯𐑲𐑯 𐑢𐑳𐑯 𐑢𐑳𐑯,ˌnaɪn wʌn ˈwʌn,,,,,,wiktionary,new,10,numeral; shave_says:𐑩-𐑤𐑦𐑕𐑑
911,NP0,GenAm,𐑯𐑲𐑯 𐑩𐑤𐑧𐑝𐑩𐑯,ˈnaɪn əˌlevən,,,,,,wiktionary,new,10,numeral; shave_says:𐑩-𐑤𐑦𐑕𐑑
911,VVI,GenAm,𐑯𐑲𐑯 𐑢𐑳𐑯 𐑢𐑳𐑯,ˌnaɪn wʌn ˈwʌn,,,,,,wiktionary,new,10,numeral; shave_says:𐑩-𐑤𐑦𐑕𐑑
999,NN1,RSSB,𐑯𐑲𐑯𐑯𐑲𐑯𐑯𐑲𐑯,naɪnnaɪnnaɪn,,,,,,wiktionary,new,10,numeral; shave_says:𐑩-𐑤𐑦𐑕𐑑
999,NN1,RSSB,𐑑𐑮𐑦𐑐𐑩𐑤𐑯𐑲𐑯,trɪpəlnaɪn,,,,,,wiktionary,new,10,numeral; shave_says:𐑩-𐑤𐑦𐑕𐑑
999,NN1,RSSB,𐑯𐑲𐑯𐑟,naɪnz,,,,,,wiktionary,new,10,numeral; shave_says:𐑩-𐑤𐑦𐑕𐑑
999,NP0,RSSB,𐑯𐑲𐑯𐑯𐑲𐑯𐑯𐑲𐑯,naɪnnaɪnnaɪn,,,,,,wiktionary,new,10,numeral; shave_says:𐑩-𐑤𐑦𐑕𐑑
999,NP0,RSSB,𐑑𐑮𐑦𐑐𐑩𐑤𐑯𐑲𐑯,trɪpəlnaɪn,,,,,,wiktionary,new,10,numeral; shave_says:𐑩-𐑤𐑦𐑕𐑑
999,NP0,RSSB,𐑯𐑲𐑯𐑟,naɪnz,,,,,,wiktionary,new,10,numeral; shave_says:𐑩-𐑤𐑦𐑕𐑑
a,AJ0,RSSB,𐑷,ɔ,,,,,,wiktionary,supplement,89,shave_says:𐑩
a,AV0,RSSB,𐑷,ɔ,,,,,,wiktionary,supplement,89,shave_says:𐑩
a,PNP,RSSB,𐑳,ʌ,,,,,,wiktionary,supplement,89,shave_says:𐑩
a,PNP,RSSB,𐑭,ɑː,,,,,,wiktionary,supplement,89,shave_says:𐑩
a bene placito,AV0,CotCaught,𐑷 𐑚𐑧𐑯𐑦 𐑐𐑤𐑷𐑗𐑩𐑑𐑴,ɒ ˈbeni ˈplɒtʃəˌtoʊ,,,,,,wiktionary,new,89,cot-caught variant of GenAm 𐑪 𐑚𐑧𐑯𐑦 𐑐𐑤𐑪𐑗𐑩𐑑𐑴
a bene placito,AV0,GenAm,𐑪 𐑚𐑧𐑯𐑦 𐑐𐑤𐑪𐑗𐑩𐑑𐑴,ɒ ˈbeni ˈplɒtʃəˌtoʊ,,,,,,wiktionary,new,89,shave_says:𐑩 𐑚𐑧𐑯𐑧 𐑐𐑤𐑱𐑕𐑰𐑑𐑴
a cappella,AJ0,CotCaught,𐑷 𐑒𐑩𐑐𐑧𐑤𐑩,ˌɒ kəˈpelə,,,,,,wiktionary,new,89,cot-caught variant of GenAm 𐑪 𐑒𐑩𐑐𐑧𐑤𐑩
a cappella,AJ0,GenAm,𐑪 𐑒𐑩𐑐𐑧𐑤𐑩,ˌɒ kəˈpelə,,,,,,wiktionary,new,89,shave_says:𐑩 𐑒𐑩𐑐𐑧𐑤𐑩
a cappella,AJ0,RSSB,𐑨𐑒𐑩𐑐𐑧𐑤𐑩,ˌækəˈpelə,,,,,,wiktionary,new,89,shave_says:𐑩 𐑒𐑩𐑐𐑧𐑤𐑩
a cappella,AJ0,RSSB,𐑨𐑒𐑨𐑐𐑧𐑤𐑩,ˌækæˈpelə,,,,,,wiktionary,new,89,shave_says:𐑩 𐑒𐑩𐑐𐑧𐑤𐑩
a cappella,AV0,CotCaught,𐑷 𐑒𐑩𐑐𐑧𐑤𐑩,ˌɒ kəˈpelə,,,,,,wiktionary,new,89,cot-caught variant of GenAm 𐑪 𐑒𐑩𐑐𐑧𐑤𐑩
a cappella,AV0,GenAm,𐑪 𐑒𐑩𐑐𐑧𐑤𐑩,ˌɒ kəˈpelə,,,,,,wiktionary,new,89,shave_says:𐑩 𐑒𐑩𐑐𐑧𐑤𐑩
a cappella,AV0,RSSB,𐑨𐑒𐑩𐑐𐑧𐑤𐑩,ˌækəˈpelə,,,,,,wiktionary,new,89,shave_says:𐑩 𐑒𐑩𐑐𐑧𐑤𐑩
a cappella,AV0,RSSB,𐑨𐑒𐑨𐑐𐑧𐑤𐑩,ˌækæˈpelə,,,,,,wiktionary,new,89,shave_says:𐑩 𐑒𐑩𐑐𐑧𐑤𐑩
a cappella,NN1,CotCaught,𐑷 𐑒𐑩𐑐𐑧𐑤𐑩,ˌɒ kəˈpelə,,,,,,wiktionary,new,89,cot-caught variant of GenAm 𐑪 𐑒𐑩𐑐𐑧𐑤𐑩
a cappella,NN1,GenAm,𐑪 𐑒𐑩𐑐𐑧𐑤𐑩,ˌɒ kəˈpelə,,,,,,wiktionary,new,89,shave_says:𐑩 𐑒𐑩𐑐𐑧𐑤𐑩
a cappella,NN1,RSSB,𐑨𐑒𐑩𐑐𐑧𐑤𐑩,ˌækəˈpelə,,,,,,wiktionary,new,89,shave_says:𐑩 𐑒𐑩𐑐𐑧𐑤𐑩
a cappella,NN1,RSSB,𐑨𐑒𐑨𐑐𐑧𐑤𐑩,ˌækæˈpelə,,,,,,wiktionary,new,89,shave_says:𐑩 𐑒𐑩𐑐𐑧𐑤𐑩
a capriccio,AV0,CotCaught,𐑷 𐑒𐑷𐑐𐑮𐑦𐑑𐑗𐑴,ɒ kɒˈprittʃoʊ,,,,,,wiktionary,new,89,cot-caught variant of GenAm 𐑪 𐑒𐑪𐑐𐑮𐑦𐑑𐑗𐑴
a capriccio,AV0,GenAm,𐑪 𐑒𐑪𐑐𐑮𐑦𐑑𐑗𐑴,ɒ kɒˈprittʃoʊ,,,,,,wiktionary,new,89,shave_says:𐑩 𐑒𐑭𐑐𐑮𐑦𐑗𐑦𐑴
A Coruña,NP0,CotCaught,𐑷 𐑒𐑼𐑫𐑯𐑘𐑩,ˌɒ kəˈrunjə,,,,,,wiktionary,new,89,cot-caught variant of GenAm 𐑪 𐑒𐑼𐑫𐑯𐑘𐑩
A Coruña,NP0,GenAm,𐑪 𐑒𐑼𐑫𐑯𐑘𐑩,ˌɒ kəˈrunjə,,,,,,wiktionary,new,89,shave_says:𐑩-𐑤𐑦𐑕𐑑𐑼
a day after the fair,AV0,GenAm,𐑩 𐑛𐑱 𐑨𐑓𐑑𐑼 𐑞𐑩 𐑓𐑺,ə ˈdeɪ ˌæftəR ðə ˈfeəR,,,,,,wiktionary,new,89,shave_says:𐑩 𐑛𐑱 𐑨𐑓𐑑𐑼 𐑞 𐑓𐑺
a day after the fair,AV0,RSSB,𐑩 𐑛𐑱 𐑭𐑓𐑑𐑼 𐑞𐑩 𐑓𐑺,ə ˈdeɪ ɑːftəR ðə feəR,,,,,,wiktionary,new,89,shave_says:𐑩 𐑛𐑱 𐑭𐑓𐑑𐑼 𐑞 𐑓𐑺
a few clowns short of a circus,UNC,GenAm,𐑩 𐑓𐑘𐑫 𐑒𐑤𐑬𐑯𐑟 𐑖𐑹𐑑 𐑩𐑝 𐑩 𐑕𐑻𐑒𐑩𐑕,ə fju klaʊnz ʃɔːRt əv ə sɜːRkəs,,,,,,wiktionary,new,89,shave_says:𐑩 𐑓𐑿 𐑒𐑤𐑬𐑯𐑟 𐑖𐑹𐑑 𐑝 𐑩 𐑕𐑻𐑒𐑩𐑕
A for effort,UNC,RRP,𐑱 𐑓𐑼 𐑧𐑓𐑼𐑑,ˈeɪ fəR efəRt,keep,,,,,wiktionary,new,89,shave_says:𐑩-𐑴𐑒𐑱
a fortiori,AJ0,CotCaught,𐑱 𐑓𐑷𐑮𐑖𐑦𐑷𐑮𐑲,ˌeɪ ˌforʃiˈorˌaɪ,,,,,,wiktionary,supplement,89,cot-caught variant of GenAm 𐑱 𐑓𐑪𐑮𐑖𐑦𐑪𐑮𐑲
a fortiori,AJ0,CotCaught,𐑱 𐑓𐑷𐑮𐑑𐑦𐑷𐑮𐑲,ˌeɪ ˌfortiˈorˌaɪ,,,,,,wiktionary,supplement,89,cot-caught variant of GenAm 𐑱 𐑓𐑪𐑮𐑑𐑦𐑪𐑮𐑲
